# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	56430
#@/user_id	mac
a 	啊	c=52 d=2.7359 t=56430
qi guai o 	奇怪哦	c=1 d=2.36437e-06 t=56430
qi jian 	期間	c=2 d=0.115785 t=56430
qi lai 	起來	c=2 d=0.985112 t=56430
qi lai le 	起來了	c=1 d=0.0186856 t=56430
qi le 	起了	c=1 d=0.00380064 t=56430
qi lin 	麒麟	c=1 d=0.0400462 t=56430
qi nei 	其內	c=0 d=0.00561347 t=56430
qi nei rong 	其內容	c=1 d=0.0564161 t=56430
qi qi guai guai 	奇奇怪怪	c=3 d=0.970882 t=56430
qi qu 	奇趣	c=2 d=0.000426457 t=56430
qi shen me 	器什麼	c=3 d=1.49941 t=56430
qi shi 	其實	c=7 d=2.2242 t=56430
qi shi 	起始	c=1 d=0.618783 t=56430
qi su 	起訴	c=1 d=0.0464212 t=56430
qi ta 	其他	c=50 d=4.76336 t=56430
qi ta de 	其他的	c=3 d=0.00098783 t=56430
qi tong 	期銅	c=2 d=0.130021 t=56430
qi wo de che 	騎我的車	c=1 d=0.666977 t=56430
qi xi di 	棲息地	c=1 d=2.36148e-21 t=56430
qi yong 	啓用	c=49 d=1.91531 t=56430
qi yong de 	啓用的	c=1 d=0.0229371 t=56430
qi yu 	其餘	c=4 d=1.87242e-06 t=56430
qi zhong 	其中	c=5 d=0.615697 t=56430
qi zuo yong 	起作用	c=2 d=0.557106 t=56430
qian 	前	c=22 d=0.593783 t=56430
qian 	淺	c=1 d=0.00324708 t=56430
qian 	錢	c=1 d=2.12906e-08 t=56430
qian dao 	簽到	c=1 d=0.086965 t=56430
qian dao ji 	簽到機	c=4 d=0.3946 t=56430
qian duan 	前端	c=57 d=2.14521 t=56430
qian duan fu wu 	前端服務	c=1 d=0.0261214 t=56430
qian hou 	前後	c=3 d=0.25284 t=56430
qian hou duan 	前後端	c=2 d=0.14808 t=56430
qian hou tai 	前後太	c=1 d=4.09805e-06 t=56430
qian hui 	淺灰	c=0 d=2.92392e-06 t=56430
qian hui se 	淺灰色	c=1 d=2.93858e-05 t=56430
qian ji tian 	前幾天	c=1 d=1.16263e-08 t=56430
qian jing 	前景	c=1 d=0.000159256 t=56430
qian lan 	淺藍	c=0 d=1.05651e-30 t=56430
qian liang 	前兩	c=0 d=0.000790705 t=56430
qian liang wei 	前兩爲	c=1 d=0.00794669 t=56430
qian lie xian 	前列腺	c=1 d=0.102284 t=56430
qian long 	前龍	c=1 d=1.09529e-12 t=56430
qian mian 	前面	c=5 d=1.5311 t=56430
qian ming 	簽名	c=3 d=0.387018 t=56430
qian qing 	前情	c=1 d=3.16745e-05 t=56430
qian ru shi 	嵌入式	c=1 d=0.00771183 t=56430
qian san ge 	前三個	c=1 d=0.869358 t=56430
qian se 	淺色	c=4 d=1.10633 t=56430
qian se diao 	淺色掉	c=1 d=0.00318278 t=56430
qian shi 	前十	c=4 d=1.88689 t=56430
qian tai 	前臺	c=1 d=3.25881e-16 t=56430
qian tao 	嵌套	c=11 d=0.178173 t=56430
qian ti 	前提	c=1 d=2.17955e-19 t=56430
qian ti xia 	前提下	c=1 d=0.000273284 t=56430
qian ye 	前夜	c=1 d=0.752014 t=56430
qian yi 	遷移	c=14 d=1 t=56430
qian yi ge 	前一個	c=1 d=0.913931 t=56430
qian zai 	潛在	c=1 d=1 t=56221
qian zhi 	前置	c=1 d=9.03423e-12 t=56430
qian zhui 	前綴	c=20 d=0.920442 t=56430
qiang 	強	c=2 d=0.13332 t=56430
qiang 	槍	c=3 d=0.048497 t=56430
qiang 	牆	c=3 d=0.393902 t=56430
qiang de 	強的	c=0 d=0.0353455 t=56430
qiang de hen 	強的很	c=1 d=0.355226 t=56430
qiang du 	強度	c=4 d=0.0673554 t=56430
qiang ji 	槍機	c=4 d=9.17104e-12 t=56430
qiang li 	強力	c=2 d=0.443325 t=56430
qiang xing 	強行	c=1 d=0.108067 t=56430
qiang yi dian 	強一點	c=1 d=3.21532e-05 t=56430
qiang zhi 	強制	c=25 d=2.53898 t=56430
qiang zhuan 	強轉	c=5 d=0.0315446 t=56430
qiao 	巧	c=1 d=0.00331267 t=56430
qiao 	橋	c=1 d=0.631284 t=56430
qiao mai mian 	蕎麥麪	c=1 d=0.00559994 t=56430
qie 	且	c=30 d=1.47984 t=56430
qie 	切	c=3 d=0.00216572 t=56430
qie dian 	切點	c=1 d=0.323033 t=56430
qie fen 	切分	c=2 d=0.865092 t=56430
qie fen cheng 	且分成	c=1 d=0.000837572 t=56430
qie fen cheng 	切分成	c=1 d=0.000841771 t=56430
qie hang 	且行	c=1 d=0.154124 t=56430
qie huan 	切換	c=39 d=4.11776 t=56430
qie huan ruo 	切換若	c=1 d=0.279431 t=56430
qie mian 	切面	c=6 d=0.608269 t=56430
qie pian 	切片	c=2 d=0.134294 t=56430
qie qu 	竊取	c=2 d=0.0107205 t=56430
qin 	親	c=5 d=1.7488 t=56430
qin le 	親了	c=0 d=0.000214417 t=56430
qin qin 	親親	c=2 d=0.980199 t=56430
qin qin ni 	親親你	c=1 d=0.00218749 t=56430
qin yi kou 	親一口	c=1 d=0.726149 t=56430
qing 	情	c=6 d=0.00436518 t=56430
qing 	清	c=0 d=1.69276e-17 t=56430
qing 	請	c=10 d=0.762306 t=56430
qing an 	請按	c=1 d=6.007e-05 t=56430
qing bang wo 	請幫我	c=1 d=2.78132e-05 t=56430
qing can kao 	請參考	c=1 d=1.11993e-09 t=56430
qing chu 	清出	c=0 d=0.000960953 t=56430
qing chu 	清楚	c=5 d=1.20001 t=56430
qing chu 	清除	c=22 d=2.53366 t=56430
qing chu lu 	清出路	c=1 d=0.0096577 t=56430
qing dan 	清單	c=3 d=1.9693 t=56430
qing dan 	清淡	c=1 d=0.650568 t=56430
qing dan de 	清單的	c=1 d=0.559898 t=56430
qing dan dian de 	清淡點的	c=1 d=0.0327124 t=56430
qing de 	清的	c=0 d=2.73563e-17 t=56430
qing hua 	清華	c=1 d=0.0948935 t=56430
qing jia 	請假	c=3 d=0.256661 t=56430
qing jiao 	請教	c=1 d=0.271173 t=56430
qing jiao 	青椒	c=1 d=0.0566989 t=56430
qing jie 	情節	c=1 d=0.00027603 t=56430
qing jing 	情景	c=1 d=5.74561e-11 t=56430
qing ju li 	請舉例	c=1 d=0.121238 t=56430
qing kong 	清空	c=6 d=0.965605 t=56430
qing kuai 	輕快	c=1 d=6.98151e-09 t=56430
qing kuang 	情況	c=35 d=4.1766 t=56430
qing kuang xia 	情況下	c=12 d=1.86244 t=56430
qing li 	清理	c=9 d=2.40518 t=56430
qing lian xi 	請聯繫	c=1 d=0.00603608 t=56430
qing liang 	清涼	c=1 d=4.19094e-05 t=56430
qing liang 	輕量	c=5 d=1.34419 t=56430
qing liang hua 	輕量化	c=1 d=1.81488e-12 t=56430
qing ni 	請你	c=11 d=3.93326 t=56430
qing qing 	輕輕	c=1 d=0.00467746 t=56430
qing qiu 	請求	c=75 d=4.38398 t=56430
qing qiu can shu 	請求參數	c=2 d=0.054204 t=56430
qing qiu fang fa 	請求方法	c=1 d=0.0672055 t=56430
qing qiu ti 	請求體	c=2 d=0.97531 t=56430
qing qiu tou 	請求頭	c=20 d=8.91333 t=56430
qing shi yong 	請使用	c=3 d=0.22091 t=56430
qing xi 	清洗	c=1 d=2.93149e-06 t=56430
qing xia 	傾下	c=1 d=0.97531 t=56430
qing yi 	輕易	c=1 d=0.0151463 t=56430
qing yi xia ba 	清一下吧	c=1 d=1.70125e-16 t=56430
qing yong 	請用	c=2 d=0.00140882 t=56430
qing zhu 	慶祝	c=2 d=1.52767e-07 t=56430
qing zhuang shang zhen 	輕裝上陣	c=1 d=7.13856e-06 t=56430
qiong ren 	窮人	c=1 d=0.00133343 t=56430
qiu 	球	c=2 d=1.45538 t=56430
qiu ji 	球機	c=5 d=1.75181 t=56430
qu 	區	c=10 d=0.0968298 t=56430
qu 	去	c=19 d=2.75339 t=56430
qu 	取	c=8 d=1.1672 t=56430
qu bie 	區別	c=100 d=10.1469 t=56430
qu bie o 	區別哦	c=1 d=0.0167392 t=56430
qu bo 	曲薄	c=2 d=0.00346515 t=56430
qu bu qu 	去不去	c=1 d=2.43762e-12 t=56430
qu chong 	驅蟲	c=1 d=0.000689186 t=56430
qu chong fu 	去重複	c=1 d=0.856416 t=56430
qu chu 	去除	c=41 d=2.18617 t=56430
qu chu 	取出	c=17 d=6.15376 t=56430
qu diao 	去掉	c=20 d=2.97046 t=56430
qu dong 	驅動	c=17 d=3.49981 t=56430
qu fen 	區分	c=26 d=1.2444 t=56430
qu gu ge 	去谷歌	c=1 d=0.99005 t=56430
qu ji 	區級	c=1 d=6.9972e-06 t=56430
qu jian 	區間	c=21 d=0.504561 t=56430
qu liang 	屈量	c=1 d=0.031273 t=56430
qu na 	去哪	c=1 d=2.09879e-16 t=56430
qu na li 	去哪裏	c=1 d=0.474734 t=56430
qu qiao 	取巧	c=1 d=0.878095 t=56430
qu shen me 	去什麼	c=1 d=0.97531 t=56430
qu xian 	曲線	c=1 d=0.000441647 t=56430
qu xian tu 	曲線圖	c=2 d=0.00126207 t=56430
qu xiao 	取消	c=26 d=1.86171 t=56430
qu yao 	取藥	c=1 d=0.444858 t=56430
qu yu 	區域	c=144 d=2.68053 t=56430
qu yu biao 	區域表	c=1 d=1.78325e-11 t=56430
qu yu ru qin 	區域入侵	c=1 d=1.92181e-09 t=56430
qu zhi 	取值	c=1 d=0.119433 t=56430
quan 	全	c=10 d=1.79862 t=56430
quan 	圈	c=3 d=0.000420391 t=56430
quan 	權	c=1 d=2.47362e-08 t=56430
quan biao 	全表	c=4 d=0.00158179 t=56430
quan biao 	權標	c=0 d=1.31765e-11 t=56430
quan biao geng xin 	權標更新	c=1 d=1.32426e-10 t=56430
quan bu 	全部	c=6 d=1.93267 t=56430
quan bu wei 	全部爲	c=1 d=0.427415 t=56430
quan can 	全參	c=1 d=5.70025e-06 t=56430
quan cheng 	全程	c=3 d=0.946968 t=56430
quan cheng 	全稱	c=1 d=1.21635e-10 t=56430
quan dou shi 	全都是	c=1 d=0.0122161 t=56430
quan ju 	全局	c=14 d=0.694197 t=56430
quan liang 	全量	c=6 d=1.0513 t=56430
quan liang 	圈樑	c=1 d=0.379083 t=56430
quan liu cheng 	全流程	c=1 d=0.0428521 t=56430
quan mai 	全麥	c=2 d=0.0349422 t=56430
quan mian 	全面	c=0 d=8.01128e-11 t=56430
quan pin 	全拼	c=1 d=0.000678925 t=56430
quan ping 	全屏	c=3 d=0.937489 t=56430
quan qiu 	全球	c=2 d=0.00652963 t=56430
quan shi 	全是	c=1 d=0.000784864 t=56430
quan wu 	全屋	c=1 d=0.0430669 t=56430
quan xian 	權限	c=36 d=1.04552 t=56430
quan xin 	全新	c=1 d=0.909373 t=56430
quan xuan 	全選	c=2 d=0.918512 t=56430
quan zhong 	權重	c=1 d=0.12938 t=56430
que 	卻	c=3 d=0.962134 t=56430
que dian 	缺點	c=10 d=1.56642 t=56430
que ding 	確定	c=6 d=1.77104 t=56430
que ding zhi 	確定值	c=3 d=7.85484e-08 t=56430
que mei 	卻沒	c=1 d=0.995012 t=56430
que neng 	卻能	c=1 d=8.31812e-11 t=56430
que ren 	確認	c=1 d=0.0160027 t=56430
que shao 	缺少	c=2 d=0.00209124 t=56430
que shi 	確實	c=17 d=0.990228 t=56430
que shi 	缺失	c=4 d=0.69079 t=56430
que xian 	缺陷	c=1 d=5.20327e-21 t=56430
qun 	羣	c=4 d=0.63115 t=56430
qun li 	羣裏	c=2 d=0.120644 t=56430
qun li fa de 	羣裏發的	c=1 d=0.00336274 t=56430
qun zi 	裙子	c=3 d=2.83175e-09 t=56430
qun zu 	羣組	c=3 d=0.0105021 t=56430
ran er 	然而	c=2 d=0.941765 t=56430
ran hou 	然後	c=11 d=1.90186 t=56430
ran qi 	燃氣	c=1 d=0.755784 t=56430
rang 	讓	c=16 d=2.42512 t=56430
rang ni 	讓你	c=2 d=0.818731 t=56430
rang qi 	讓其	c=2 d=0.900352 t=56430
rang ren 	讓人	c=2 d=6.95526e-05 t=56430
rang ta 	讓他	c=2 d=0.51432 t=56430
rang wo 	讓我	c=3 d=0.996197 t=56430
rao 	繞	c=0 d=5.08015e-05 t=56430
rao bu guo 	繞不過	c=1 d=0.000510561 t=56430
rao guo 	繞過	c=2 d=0.173774 t=56430
rao yuan 	繞遠	c=0 d=9.64917e-23 t=56430
rao yuan le 	繞遠了	c=1 d=9.69754e-22 t=56430
rao yun 	繞暈	c=1 d=0.0347353 t=56430
re 	熱	c=4 d=1.43433 t=56430
re cuo 	熱錯	c=1 d=9.59288e-12 t=56430
re dian 	熱點	c=2 d=1.99005 t=56430
re fei shui 	熱廢水	c=1 d=1.93743e-16 t=56430
re mo zhe 	熱墨者	c=1 d=3.76539e-10 t=56430
re shui 	熱水	c=2 d=0.729789 t=56430
re sou 	熱搜	c=2 d=1.99005 t=56430
ren 	人	c=25 d=0.981489 t=56430
ren 	任	c=1 d=0.198891 t=56430
ren bu chu 	認不出	c=1 d=2.54851e-06 t=56430
ren chu 	認出	c=1 d=0.239309 t=56430
ren chu ni 	認出你	c=1 d=0.0270518 t=56430
ren duo 	人多	c=2 d=0.00413157 t=56430
ren gong 	人工	c=2 d=0.00501661 t=56430
ren he 	任何	c=7 d=1.02773 t=56430
ren he chu li 	任何處理	c=1 d=1.13196e-17 t=56430
ren lei 	人類	c=1 d=0.00873865 t=56430
ren li 	人力	c=1 d=0.187308 t=56430
ren lian 	人臉	c=28 d=1.9735 t=56430
ren lian qian dao ji 	人臉簽到機	c=1 d=0.0153752 t=56430
ren min 	人民	c=2 d=0.207008 t=56430
ren min bi 	人民幣	c=2 d=0.00109719 t=56430
ren ming 	人名	c=1 d=2.50018e-16 t=56430
ren nao 	人腦	c=1 d=0.316637 t=56430
ren shao 	人少	c=1 d=0.00215492 t=56430
ren shi 	人事	c=2 d=0.532592 t=56430
ren shi 	認識	c=4 d=0.369724 t=56430
ren shu 	人數	c=3 d=0.0160135 t=56430
ren shui 	人誰	c=1 d=0.726149 t=56430
ren wei 	認爲	c=5 d=0.680451 t=56430
ren wu 	任務	c=152 d=4.01523 t=56430
ren wu diao du 	任務調度	c=1 d=0.000266536 t=56430
ren wu jie guo 	任務結果	c=1 d=2.25641e-15 t=56430
ren yi 	任意	c=5 d=0.973454 t=56430
ren yuan 	人員	c=31 d=1.21015 t=56430
ren yuan lei xing 	人員類型	c=1 d=0.121846 t=56430
ren zheng 	認證	c=13 d=1.86953 t=56430
ren zheng lei xing 	認證類型	c=1 d=0.00336274 t=56430
ren zheng shi bai 	認證失敗	c=1 d=0.00348252 t=56430
reng 	仍	c=2 d=0.0702988 t=56430
reng hui 	仍會	c=1 d=2.00576e-12 t=56430
reng ran 	仍然	c=2 d=0.12938 t=56430
ri 	日	c=7 d=3.87264 t=56430
ri ben 	日本	c=2 d=3.15165e-05 t=56430
ri chang 	日常	c=7 d=2.56816 t=56430
ri ji 	日記	c=5 d=3.94431 t=56430
ri li 	日曆	c=7 d=0.0337306 t=56430
ri me 	日麼	c=1 d=0.000934964 t=56430
ri qi 	日期	c=25 d=4.38746 t=56430
ri ri 	日日	c=0 d=6.46143e-11 t=56430
ri xing 	日型	c=1 d=0.904837 t=56430
ri yu 	日語	c=1 d=1 t=56430
ri zhi 	日誌	c=85 d=8.52476 t=56430
rong 	容	c=1 d=0.013369 t=56430
rong he 	融合	c=6 d=0.0701133 t=56430
rong qi 	容器	c=27 d=0.0983513 t=56430
rong qi ming cheng 	容器名稱	c=1 d=0.0199405 t=56430
rong qi nei 	容器內	c=1 d=0.00486835 t=56430
rong yi 	容易	c=7 d=1.38103 t=56430
rong yu 	冗餘	c=5 d=0.000806687 t=56430
rou 	肉	c=2 d=0.12938 t=56430
rou he 	柔和	c=3 d=0.0572688 t=56430
rou pian 	肉片	c=0 d=0.000444934 t=56430
ru 	入	c=5 d=0.977921 t=56430
ru 	如	c=6 d=1.01835 t=56430
ru can 	入參	c=1 d=0.369723 t=56430
ru can 	入慘	c=1 d=0.364219 t=56430
ru ci 	如此	c=2 d=1.39946 t=56430
ru eh 	如誒	c=8 d=0.301194 t=56430
ru guo 	如果	c=87 d=7.86446 t=56430
ru guo shi 	如果是	c=1 d=2.89483e-05 t=56430
ru guo you 	如果有	c=1 d=0.66034 t=56430
ru he 	如何	c=296 d=17.9616 t=56430
ru kou 	入口	c=3 d=0.264477 t=56430
ru ku 	入庫	c=2 d=0.110849 t=56430
ru men 	入門	c=1 d=1.04677 t=56430
ru qin 	入侵	c=2 d=0.00160214 t=56430
ru shang 	如上	c=1 d=0.839457 t=56430
ru xia 	如下	c=7 d=1.13796 t=56430
ru you 	如有	c=1 d=2.63929e-06 t=56430
ruan 	軟	c=1 d=1.13149e-05 t=56430
ruan jian 	軟件	c=15 d=1.85908 t=56430
ruan jian bao 	軟件包	c=1 d=0.0162445 t=56430
ruan lian jie 	軟鏈接	c=4 d=3.74519e-05 t=56430
rui chu 	瑞出	c=1 d=0.0893673 t=56430
rui peng 	瑞碰	c=1 d=0.00082099 t=56430
rui peng 	瑞鵬	c=1 d=0.000825105 t=56430
rui rui 	芮芮	c=1 d=0.00848038 t=56430
ruo 	弱	c=1 d=1.35404e-07 t=56430
ruo 	若	c=4 d=0.653548 t=56430
ruo he 	若何	c=1 d=2.8527e-09 t=56430
ruo yi 	若依	c=2 d=0.564507 t=56430
ruo yin ruo xian 	若隱若現	c=1 d=0.219808 t=56430
ruo zhi 	弱智	c=1 d=0.822835 t=56430
sai dao 	賽道	c=0 d=0.000202943 t=56430
sai er 	塞爾	c=0 d=0.0647265 t=56430
sai ru 	塞入	c=2 d=0.111457 t=56430
sai shi 	賽事	c=1 d=2.22781e-12 t=56430
san 	三	c=17 d=2.52571 t=56430
san ceng 	三層	c=1 d=5.62896e-05 t=56430
san dian 	三點	c=1 d=0.111453 t=56430
san dian ban 	三點半	c=1 d=0.985112 t=56430
san fang 	三方	c=2 d=0.436505 t=56430
san fen 	三分	c=7 d=1.1138 t=56430
san fen ji chang 	三分機場	c=1 d=0.00334597 t=56430
san fen zhi yi 	三分之一	c=1 d=0.00267181 t=56430
san ge 	三個	c=5 d=0.925166 t=56430
san hai 	三害	c=1 d=1 t=56430
san jian 	三件	c=1 d=0.0196437 t=56430
san jian ke 	三劍客	c=1 d=0.00339653 t=56430
san ming 	三明	c=0 d=2.57413e-07 t=56430
san ming bei 	三明北	c=1 d=2.58703e-06 t=56430
san mu 	三木	c=1 d=0.0320647 t=56430
san mu yun suan 	三目運算	c=1 d=0.085435 t=56430
san mu yun suan fu 	三目運算符	c=1 d=0.0322254 t=56430
san nian 	三年	c=1 d=0.00318278 t=56430
san nian qian 	三年前	c=1 d=1.8325e-08 t=56430
san qu 	三區	c=5 d=9.18908e-09 t=56430
san tian 	三天	c=1 d=0.00814786 t=56430
san tiao 	三條	c=1 d=0.0133665 t=56430
san wei 	三位	c=1 d=0.00856123 t=56430
san xiao shi 	三小時	c=3 d=0.000386184 t=56430
san yuan 	三元	c=1 d=7.65877e-10 t=56430
san zhang 	三張	c=1 d=2.03795e-11 t=56430
san zhang biao 	三張表	c=1 d=1.82839e-11 t=56430
san zhong 	三種	c=3 d=0.875263 t=56430
sang shi 	喪失	c=0 d=1.05982e-08 t=56430
sao 	掃	c=2 d=0.249075 t=56430
sao biao 	掃表	c=1 d=0.0057994 t=56430
sao feng 	掃風	c=1 d=0.000305061 t=56430
sao miao 	掃描	c=2 d=0.00158972 t=56430
se 	色	c=1 d=0.101475 t=56430
se diao 	色調	c=1 d=0.00319873 t=56430
se tu 	色圖	c=1 d=0.00729913 t=56430
sen lin 	森林	c=12 d=0.856989 t=56430
sen lin fang huo 	森林防火	c=2 d=0.0617926 t=56430
sen lin zi yuan 	森林資源	c=1 d=3.88812e-05 t=56430
seng lin 	僧林	c=1 d=1.52642e-05 t=56430
sha 	傻	c=2 d=0.180866 t=56430
sha 	啥	c=9 d=0.754535 t=56430
sha de 	殺得	c=1 d=2.0608e-07 t=56430
sha diao 	殺掉	c=6 d=3.98603 t=56430
sha diao le 	殺掉了	c=1 d=1 t=56430
sha gua 	傻瓜	c=1 d=0.0315873 t=56430
sha le 	傻了	c=1 d=0.0195009 t=56430
sha le 	殺了	c=1 d=0.179964 t=56430
sha lou 	沙漏	c=1 d=1.09228e-09 t=56430
sha sha 	傻傻	c=1 d=0.000422213 t=56430
sha wen ti 	啥問題	c=1 d=0.0692522 t=56430
sha yi si 	啥意思	c=1 d=0.436049 t=56430
sha yu 	鯊魚	c=1 d=3.89885e-08 t=56430
sha zi 	傻子	c=2 d=0.913931 t=56430
sha zi 	啥子	c=1 d=0.000642592 t=56430
sha zi 	沙子	c=1 d=0.918512 t=56430
shai chang 	曬場	c=1 d=0.29671 t=56430
shai le 	曬了	c=1 d=0.923116 t=56430
shai me 	曬麼	c=2 d=0.771052 t=56430
shan 	刪	c=5 d=0.0614231 t=56430
shan 	閃	c=1 d=0.909373 t=56430
shan chang 	擅長	c=1 d=0.298197 t=56430
shan chu 	刪除	c=223 d=10.3466 t=56430
shan chu jie kou 	刪除接口	c=1 d=0.955997 t=56430
shan diao 	刪掉	c=5 d=0.00116624 t=56430
shan diao le 	刪掉了	c=2 d=0.514274 t=56430
shan dong sheng 	山東省	c=1 d=0.131994 t=56430
shan gan jing 	刪乾淨	c=1 d=2.43845e-16 t=56430
shan le 	刪了	c=3 d=0.491644 t=56430
shan shuo 	閃爍	c=1 d=0.00142298 t=56430
shan tui 	刪退	c=1 d=0.99005 t=56430
shan tui 	閃退	c=2 d=0.995012 t=56430
shan wei 	羶味	c=1 d=0.0405589 t=56430
shan zha pian 	山楂片	c=1 d=0.00937227 t=56430
shang 	上	c=108 d=9.51857 t=56430
shang 	商	c=7 d=0.745549 t=56430
shang ban 	上班	c=9 d=0.159501 t=56430
shang ban zhong 	上班中	c=1 d=0.0298969 t=56430
shang bao 	上報	c=10 d=1.38838 t=56430
shang ce suo 	上廁所	c=0 d=0.00992613 t=56430
shang ceng 	上層	c=1 d=3.58053e-06 t=56430
shang chuan 	上傳	c=67 d=3.61403 t=56430
shang chuan de 	上傳的	c=1 d=3.38017e-05 t=56430
shang ci 	上次	c=16 d=1.88574 t=56430
shang ci kan 	上次看	c=1 d=0.794534 t=56430
shang de 	上的	c=5 d=2.27216 t=56430
shang dian 	商店	c=1 d=0.024234 t=56430
shang ge 	上個	c=5 d=1.75107 t=56430
shang hai 	上海	c=0 d=2.32632e-22 t=56430
shang hai hai shang 	上海海上	c=1 d=2.33798e-21 t=56430
shang ke 	上課	c=3 d=0.40657 t=56430
shang ke ba 	上課吧	c=1 d=0.463013 t=56430
shang lai 	上來	c=2 d=0.027188 t=56430
shang liang 	商量	c=1 d=0.909372 t=56430
shang men 	上門	c=1 d=0.70822 t=56430
shang mian 	上面	c=73 d=5.75832 t=56430
shang mian de 	上面的	c=16 d=0.953662 t=56430
shang pi 	上皮	c=1 d=1 t=56083
shang pin 	商品	c=7 d=0.000964956 t=56430
shang ping 	上屏	c=1 d=0.932394 t=56430
shang shou 	上手	c=1 d=0.0029676 t=56430
shang shu 	上述	c=3 d=1.20287 t=56430
shang wan 	上完	c=1 d=0.031273 t=56430
shang wu 	上午	c=6 d=0.119433 t=56430
shang xia 	上下	c=3 d=0.97531 t=56430
shang xia wen 	上下文	c=14 d=0.322017 t=56430
shang xia xian 	上下限	c=1 d=1 t=56178
shang xian 	上限	c=8 d=0.443185 t=56430
shang yi ci 	上一次	c=1 d=0.506617 t=56430
shang yi ge 	上一個	c=2 d=0.0908937 t=56430
shang you 	上有	c=1 d=2.07685e-10 t=56430
shang you 	上游	c=3 d=6.61223e-10 t=56430
shang zhou 	上週	c=1 d=3.79729e-21 t=56430
shang zhou liu 	上週六	c=1 d=0.0352602 t=56430
shao 	少	c=5 d=2.80618 t=56430
shao de 	少的	c=1 d=0.256661 t=56430
shao dian 	少點	c=1 d=0.00017956 t=56430
shao le 	少了	c=2 d=4.93085e-06 t=56430
shao shu pai 	少數派	c=1 d=0.066205 t=56430
shao shuai 	少帥	c=1 d=0.99005 t=56430
shao wei 	稍微	c=1 d=0.0124007 t=56430
she 	設	c=4 d=0.551563 t=56430
she bao 	社保	c=1 d=7.79862e-17 t=56430
she bei 	設備	c=725 d=16.4746 t=56430
she bei can shu 	設備參數	c=1 d=0.0270518 t=56430
she bei lei xing 	設備類型	c=1 d=3.13263e-22 t=56430
she biao wei 	設表位	c=2 d=5.89307e-15 t=56430
she cheng 	設成	c=1 d=1.39937e-12 t=56430
she de 	設的	c=1 d=0.937067 t=56430
she ding 	設定	c=26 d=0.421645 t=56430
she ding dao 	設定到	c=1 d=9.80532e-05 t=56430
she hui 	社會	c=1 d=0.106992 t=56430
she ji 	涉及	c=3 d=0.970446 t=56430
she ji 	設計	c=69 d=2.00468 t=56430
she ji biao 	設計表	c=1 d=6.90969e-05 t=56430
she ji yi ge 	設計一個	c=1 d=4.50722e-08 t=56430
she qu 	社區	c=2 d=7.85241e-06 t=56430
she qu ji 	社區級	c=1 d=7.17434e-06 t=56430
she shi du 	攝氏度	c=8 d=0.805031 t=56430
she tuan 	社團	c=2 d=0.0209845 t=56430
she wan cheng 	設完成	c=1 d=0.199888 t=56430
she wei 	設爲	c=9 d=1.46699 t=56430
she xiang tou 	攝像頭	c=8 d=0.804553 t=56430
she you 	舍友	c=1 d=0.0124007 t=56430
she zhi 	設置	c=151 d=13.0306 t=56430
she zhi dao 	設置到	c=1 d=0.000100034 t=56430
she zhi de 	設置的	c=2 d=0.024234 t=56430
she zhi li 	設置裏	c=1 d=8.9413e-08 t=56430
she zhi xiang 	設置項	c=1 d=3.92853e-09 t=56430
shei 	誰	c=5 d=0.92512 t=56430
shei de 	誰的	c=1 d=0.0132999 t=56430
shei lai 	誰來	c=1 d=1.79652e-10 t=56430
shen 	沈	c=8 d=0.929339 t=56430
shen chou 	深仇	c=2 d=0.00212284 t=56430
shen er 	甚而	c=0 d=0.0965605 t=56430
shen fen 	身份	c=2 d=0.0358407 t=56430
shen fen hao ma 	身份號碼	c=1 d=0.0121552 t=56430
shen fen zheng 	身份證	c=3 d=0.179061 t=56430
shen fen zheng hao 	身份證號	c=3 d=0.308632 t=56430
shen gou 	申購	c=0 d=0.00214936 t=56430
shen he 	審覈	c=1 d=0.0241131 t=56430
shen ji 	審計	c=1 d=1.08141e-09 t=56430
shen me 	什麼	c=263 d=15.6907 t=56430
shen me dong xi 	什麼東西	c=1 d=0.00951391 t=56430
shen me guan xi 	什麼關係	c=1 d=2.48686e-12 t=56430
shen me qing kuang 	什麼情況	c=1 d=0.946485 t=56430
shen me shi 	什麼是	c=2 d=0.840271 t=56430
shen me shi hou 	什麼時候	c=1 d=0.348192 t=56430
shen me yi si 	什麼意思	c=1 d=0.0256042 t=56430
shen qi 	神奇	c=2 d=0.367879 t=56430
shen qing 	申請	c=4 d=0.312239 t=56430
shen ru 	深入	c=1 d=0.0049667 t=56430
shen shang 	身上	c=2 d=0.0102037 t=56430
shen su 	申訴	c=1 d=0.0376283 t=56430
shen tai 	神態	c=2 d=7.04885e-07 t=56430
shen zhi 	甚至	c=3 d=0.970446 t=56430
shen zhi bu qing 	神志不清	c=1 d=1.08325e-29 t=56430
shen zhi bu qing 	神智不清	c=1 d=1.07785e-29 t=56430
shen zhou 	神舟	c=2 d=3.65648e-10 t=56430
shen zi 	身子	c=1 d=0.209088 t=56430
sheng 	生	c=1 d=0.0211736 t=56430
sheng 	省	c=1 d=6.82444e-06 t=56430
sheng bing 	生病	c=1 d=4.22429e-10 t=56430
sheng cai 	剩菜	c=1 d=0.440432 t=56430
sheng cai 	生菜	c=1 d=0.438235 t=56430
